,Label,Kind,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,E innovazione di prodotto,Unknown,300.0,0.0,10.0,0.0,10.0,212.13203435596424
1,Formazione e sviluppo dei dipendenti diversit ed inclusione,Integrit,91.5057915057915,65.35552193645992,4.444444444444445,1.1111111111111112,4.444444444444445,18.49103294233058
2,Consumo di acqua,Soddisfazione del cliente,0.0,73.5249621785174,0.0,2.2222222222222223,0.0,51.98999934291408
3,Consumo energetico impatti sociali,Integrit,52.316602316602314,94.85627836611195,2.2222222222222223,3.3333333333333335,2.2222222222222223,30.080093404087226
4,Ed emissioni di,Soddisfazione del cliente,12.934362934362934,101.66414523449319,1.1111111111111112,4.444444444444445,1.1111111111111112,62.741430757628194
5,Produzione e gestione,sociale,61.003861003861005,136.61119515885022,3.3333333333333335,5.555555555555555,3.3333333333333335,53.46245868843014
6,Rifiuti,Integrit,106.94980694980696,147.5037821482602,5.555555555555555,6.666666666666667,5.555555555555555,28.67599086689735
7,Catena di fornitura sostenibile,Artigianalit e innovazione di prodotto,192.08494208494207,226.4750378214826,7.777777777777779,7.777777777777779,7.777777777777779,24.317469900962383
8,Diritti umani,sociale,171.23552123552125,260.5143721633888,6.666666666666667,8.88888888888889,6.666666666666667,63.129680907638054
9,Etica aziendale e compliance,Governance e compliance,195.94594594594594,300.0,8.88888888888889,10.0,8.88888888888889,73.5773272315732
